Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00   511671     0.00     0.00  Graph::addEdge(int, int, double)
  0.00      0.19     0.00   437576     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.19     0.00   437534     0.00     0.00  Neighbor* std::__relocate_a<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00      0.19     0.00   437531     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00      0.19     0.00   437481     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::max_size() const
  0.00      0.19     0.00   437467     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::max_size(std::allocator<Neighbor> const&)
  0.00      0.19     0.00   437465     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_max_size(std::allocator<Neighbor> const&)
  0.00      0.19     0.00   437464     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_get_Tp_allocator() const
  0.00      0.19     0.00   437455     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::max_size() const
  0.00      0.19     0.00   294656     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_deallocate(Neighbor*, unsigned long)
  0.00      0.19     0.00   290811     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00      0.19     0.00   282035     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.19     0.00   218797     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.19     0.00   218768     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::deallocate(Neighbor*, unsigned long)
  0.00      0.19     0.00   218768     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::deallocate(std::allocator<Neighbor>&, Neighbor*, unsigned long)
  0.00      0.19     0.00   218765     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::difference_type __gnu_cxx::operator-<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00      0.19     0.00   218764     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::allocate(std::allocator<Neighbor>&, unsigned long)
  0.00      0.19     0.00   218764     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::begin()
  0.00      0.19     0.00   218761     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::allocate(unsigned long, void const*)
  0.00      0.19     0.00   218757     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_allocate(unsigned long)
  0.00      0.19     0.00   218689     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_M_check_len(unsigned long, char const*) const
  0.00      0.19     0.00   213567     0.00     0.00  SSSPTree::getDistance(int) const
  0.00      0.19     0.00   192949     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.19     0.00   151776     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >* std::__addressof<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >&)
  0.00      0.19     0.00   103275     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00      0.19     0.00    99703     0.00     0.00  std::operator+(std::_Bit_const_iterator const&, long)
  0.00      0.19     0.00    99598     0.00     0.00  std::_Bit_const_iterator::operator[](long) const
  0.00      0.19     0.00    97399     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
