# SSSP Tree from source 1
# Vertex	Distance	Parent
525	1	1
526	1	1
527	1	1
528	1	1
529	1	1
530	1	1
531	1	1
532	1	1
533	1	1
534	1	1
535	1	1
536	1	1
537	1	1
538	1	1
539	1	1
540	1	1
541	1	1
542	1	1
543	1	1
544	2	34
545	2	4
546	1	1
547	2	735
548	2	738
549	1	1
550	1	1
551	2	4
552	2	20
553	2	20
554	2	663
555	1	1
556	2	102
557	2	34
558	2	34
559	2	10
560	2	4
561	2	102
562	2	34
563	1	1
564	2	1234
565	1	1
566	2	34
567	2	2356
568	2	34
569	2	725
570	2	3973
571	2	1029
572	2	10
573	2	34
574	2	401
575	2	75
576	1	1
577	2	704
578	2	107
579	2	75
580	2	180
581	1	1
582	2	34
583	2	725
584	2	34
585	3	2
586	1	1
587	2	33
588	2	4
589	2	1455
590	1	1
591	2	725
592	1	1
593	2	451
594	2	34
595	2	33
596	2	725
597	2	34
598	2	34
599	2	34
600	1	1
601	2	689
602	1	1
603	2	449
604	2	546
605	2	54
606	2	20
607	2	738
608	2	549
609	2	725
610	2	34
611	2	10
612	2	10
613	2	645
614	2	725
615	2	34
616	2	87
617	2	34
618	2	102
619	2	21
620	2	4
621	2	563
622	2	10
623	2	766
624	2	102
625	1	1
626	2	735
627	2	10
628	2	34
629	2	10
630	2	34
631	2	10
632	2	102
633	2	61
634	1	1
635	2	728
636	2	34
637	1	1
638	2	684
639	2	4
640	2	789
641	2	555
642	2	738
643	2	71399
644	2	34
645	1	1
646	1	1
647	2	2275
648	2	390
649	1	1
650	1	1
651	2	10
652	2	4
653	2	34
654	2	34
655	2	20
656	2	54
657	2	625
658	2	555
659	2	102
660	2	735
661	2	102
662	2	102
663	1	1
664	1	1
665	2	102
666	2	766
667	2	5919
668	2	727
669	2	102
670	2	735
671	2	704
672	2	120
673	2	5919
674	2	3559
675	2	5056
676	1	1
677	2	735
678	2	728
679	2	766
680	2	728
681	2	4
682	2	789
683	2	34
684	1	1
685	2	34
686	2	4
687	2	645
688	2	3850
689	1	1
690	2	3
691	2	735
692	2	738
693	2	3973
694	1	1
695	2	3
696	1	1
697	2	20
698	2	3
699	2	738
700	2	10
701	2	34
702	2	3850
703	2	102
704	1	1
705	2	20
706	2	3
707	2	723
708	1	1
709	2	34
710	2	3
711	2	694
712	2	10
713	2	3850
714	2	3
715	2	4
716	2	4
717	2	4
718	2	4
719	2	4
720	2	4
721	2	4
722	2	4
723	1	1
724	2	4
725	1	1
726	2	4
727	1	1
728	1	1
729	2	4
730	2	4
731	2	4
732	2	4
733	2	4
734	2	4
735	1	1
736	2	4
737	2	4
738	1	1
739	2	4
740	2	4
741	2	4
742	2	4
743	2	4
744	2	4
745	2	4
746	2	4
747	2	4
748	2	4
749	2	4
750	2	4
751	2	4
752	2	4
753	2	4
754	2	4
755	2	4
756	2	4
757	2	4
758	2	4
759	2	4
760	2	4
761	2	4
762	2	4
763	1	1
764	2	4
765	2	4
766	1	1
767	2	4
768	2	4
769	2	4
770	2	4
771	2	4
772	2	4
773	2	4
774	2	4
775	2	34
776	2	34
777	2	34
778	2	350
779	2	102
780	2	75
781	2	102
782	2	102
783	2	10
784	2	645
785	2	723
786	2	75
787	2	34
788	2	10
789	1	1
790	2	34
791	2	352
792	1	1
793	2	789
794	2	34
795	2	34
796	2	645
797	2	634
798	2	67
799	2	67
800	2	5
801	2	74
802	2	34
803	2	5
804	2	10
805	2	351
806	2	5
807	2	738
808	2	54
809	2	34
810	2	5
811	2	839
812	2	34
813	2	136
814	2	20
815	2	550
816	2	5
817	2	728
818	2	10
819	2	433
820	2	102
821	2	565
822	2	5056
823	1	1
824	1	1
825	2	34
826	2	34
827	2	20
828	2	20
829	2	10
830	2	725
831	2	766
832	2	34
833	2	735
834	2	5
835	2	634
836	2	5674
837	1	1
838	2	28
839	1	1
840	2	102
841	2	839
842	2	5
843	2	3850
844	2	766
845	2	350
846	2	74
847	2	735
848	2	738
849	2	349
850	2	735
851	2	34
852	2	10
853	2	34
854	2	352
855	3	4870
856	2	445
857	2	446
858	2	663
859	2	418
860	1	1
861	3	6
862	2	352
863	2	34
864	2	5791
865	2	77
866	3	726
867	2	34
868	3	3687
869	2	30
870	2	350
871	3	6
872	2	725
873	2	789
874	2	645
875	3	6
876	2	645
877	2	645
878	2	645
879	2	102
880	3	6
881	1	1
882	2	34
883	2	34
884	3	6
885	2	409
886	2	2168
887	2	34
888	2	766
889	3	2741
890	2	34
891	2	645
892	2	735
893	2	684
894	3	6
895	3	6
896	2	723
897	3	6
898	1	1
899	2	390
900	2	645
901	2	34
902	2	725
903	2	75
904	2	67
905	1	1
906	2	10
907	2	350
908	2	728
909	2	10
910	2	349
911	2	34
912	2	34
913	2	34
914	2	74
915	2	77
916	2	5344
917	2	34
918	2	87
919	2	87
920	2	4017
921	3	6
922	3	4870
923	2	34
924	2	738
925	2	2168
926	2	645
927	2	2275
928	3	6
929	2	102
930	2	546
931	2	2205
932	2	625
933	3	13
934	2	645
935	3	16042
936	2	295
937	3	919
938	2	563
939	2	4877
940	2	723
941	3	6
942	2	10
943	2	663
944	2	34
945	2	735
946	2	34
947	1	1
948	2	61
949	2	74
950	2	550
951	2	7429
952	2	5344
953	2	766
954	2	10
955	2	1540
956	1	1
957	2	350
958	3	6
959	2	420
960	2	689
961	2	102
962	2	738
963	2	550
964	1	1
965	2	10
966	2	31
967	1	1
968	2	728
969	2	735
970	1	1
971	2	789
972	1	1
973	2	75
974	2	10
975	2	75
976	2	350
977	2	33
978	2	349
979	2	10
980	2	766
981	2	74
982	2	34
983	2	766
984	2	438
985	2	20
986	2	34
987	2	766
988	2	725
989	2	735
990	2	345
991	2	75
992	2	349
993	2	10
994	1	1
995	2	735
996	2	34
997	2	2168
998	2	10
999	2	4017
1000	2	663
1001	2	34
1002	2	704
1003	2	34
1004	2	725
1005	2	1059
1006	2	349
1007	2	102
1008	2	5056
1009	2	34
1010	2	34
1011	2	645
1012	2	349
1013	2	766
1014	1	1
1015	2	20
1016	2	10
1017	2	5624
1018	2	34
1019	2	102
1020	2	75
1021	2	34
1022	2	34
1023	2	738
1024	1	1
1025	2	34
1026	2	10
1027	2	10
1028	2	1455
1029	1	1
1030	2	2205
1031	2	645
1032	2	34
1033	2	34
1034	3	3792
1035	2	738
1036	2	34
1037	2	34
1038	3	739
1039	2	447
1040	2	33
1041	3	2861
1042	2	34
1043	2	455
1044	2	34
1045	2	34
1046	2	725
1047	2	689
1048	2	310
1049	2	645
1050	3	775
1051	2	62
1052	2	342
1053	2	390
1054	2	154
1055	2	432
1056	2	349
1057	2	689
1058	2	766
1059	1	1
1060	2	1059
1061	INF	-
1062	2	127
1063	3	1119
1064	2	154
1065	2	432
1066	2	34
1067	2	34
1068	2	154
1069	2	75
1070	2	411
1071	2	345
1072	2	689
1073	2	345
1074	2	27
1075	1	1
1076	2	154
1077	2	77
1078	2	563
1079	3	3912
1080	2	365
1081	2	345
1082	3	547
1083	2	2680
1084	2	789
1085	2	34
1086	2	31
1087	3	71388
1088	3	5829
1089	2	145
1090	2	145
1091	2	136
1092	2	663
1093	1	1
1094	2	10
1095	INF	-
1096	INF	-
1097	2	1024
1098	2	28
1099	2	145
1100	3	17251
1101	2	563
1102	2	34
1103	2	694
1104	2	645
1105	2	645
1106	2	725
1107	2	645
1108	2	766
1109	2	8136
1110	2	345
1111	1	1
1112	2	352
1113	2	400
1114	2	279
1115	3	7
1116	3	7
1117	2	421
1118	2	725
1119	2	447
1120	2	725
1121	2	345
1122	2	31
1123	2	77
1124	2	663
1125	2	74
1126	2	645
1127	2	550
1128	2	345
1129	2	350
1130	2	34
1131	3	8
1132	2	689
1133	2	493
1134	3	8
1135	2	645
1136	2	725
1137	2	397
1138	2	67
1139	2	555
1140	2	408
1141	2	74
1142	2	3502
1143	2	34
1144	1	1
1145	2	725
1146	2	725
1147	2	34
1148	3	765
1149	2	645
1150	2	645
1151	2	645
1152	2	34
1153	2	447
1154	2	107
1155	2	645
1156	2	645
1157	2	345
1158	2	342
1159	2	443
1160	2	1059
1161	2	645
1162	2	645
1163	2	766
1164	2	1455
1165	2	34
1166	2	10
1167	1	1
1168	2	10
1169	2	10
1170	2	10
1171	2	10
1172	2	10
1173	1	1
1174	2	10
1175	2	10
1176	2	10
1177	2	10
1178	2	10
1179	1	1
1180	2	10
1181	1	1
1182	2	10
1183	2	10
1184	2	10
1185	2	10
1186	2	10
1187	2	10
1188	2	10
1189	2	10
1190	2	10
1191	2	10
1192	2	10
1193	2	10
1194	2	10
1195	2	10
1196	2	10
1197	2	10
1198	2	10
1199	2	10
1200	1	1
1201	2	10
1202	2	10
1203	2	10
1204	2	10
1205	2	10
1206	2	10
1207	1	1
1208	2	10
1209	2	10
1210	2	10
1211	2	10
1212	2	10
1213	2	10
1214	2	10
1215	2	10
1216	2	10
1217	2	10
1218	2	10
1219	2	10
1220	2	10
1221	2	10
1222	2	10
1223	2	10
1224	2	10
1225	1	1
1226	2	10
1227	2	10
1228	2	10
1229	2	10
1230	2	10
1231	2	10
1232	2	10
1233	1	1
1234	1	1
1235	2	10
1236	2	10
1237	2	10
1238	2	10
1239	2	10
1240	2	10
1241	2	10
1242	2	10
1243	2	34
1244	2	387
1245	2	34
1246	2	645
1247	1	1
1248	2	34
1249	1	1
1250	2	34
1251	2	75
1252	2	34
1253	2	34
1254	2	738
1255	2	663
1256	2	766
1257	2	766
1258	2	20
1259	2	20
1260	2	684
1261	2	11
1262	2	75
1263	2	34
1264	2	102
1265	2	87
1266	2	446
1267	2	689
1268	2	766
1269	2	427
1270	2	74
1271	2	34
1272	2	75
1273	2	102
1274	2	735
1275	1	1
1276	2	738
1277	2	75
1278	2	77
1279	1	1
1280	2	34
1281	2	645
1282	2	625
1283	2	20
1284	2	349
1285	2	34
1286	2	645
1287	2	438
1288	2	75
1289	2	20
1290	2	11
1291	2	395
1292	2	11
1293	2	34
1294	2	34
1295	2	34
1296	2	20
1297	2	763
1298	2	118
1299	2	735
1300	2	34
1301	2	102
1302	3	12
1303	2	34
1304	2	34
1305	2	3850
1306	2	102
1307	2	555
1308	2	30
1309	2	75
1310	2	102
1311	3	4837
1312	2	766
1313	2	34
1314	2	34
1315	2	789
1316	2	87
1317	2	34
1318	2	4017
1319	2	34
1320	2	34
1321	2	2275
1322	2	75
1323	2	20
1324	2	34
1325	2	738
1326	2	74
1327	3	12
1328	2	74
1329	2	34
1330	3	12
1331	2	763
1332	3	12
1333	3	158
1334	3	103
1335	2	21
1336	2	634
1337	2	376
1338	2	74
1339	2	645
1340	2	432
1341	2	33
1342	2	34
1343	2	34
1344	3	10212
1345	2	550
1346	2	20
1347	2	663
1348	2	30
1349	2	1234
1350	2	34
1351	2	34
1352	2	20
1353	2	34
1354	3	726
1355	2	368
1356	2	735
1357	3	12
1358	2	728
1359	2	728
1360	2	34
1361	2	34
1362	2	27
1363	2	645
1364	2	350
1365	2	34
1366	2	725
1367	2	645
1368	2	735
1369	2	34
1370	2	34
1371	3	12
1372	2	136
1373	2	20
1374	2	34
1375	2	704
1376	2	645
1377	2	645
1378	2	28
1379	1	1
1380	2	74
1381	2	634
1382	2	492
1383	2	645
1384	2	34
1385	3	103
1386	3	12
1387	2	102
1388	2	34
1389	2	34
1390	2	738
1391	2	28
1392	2	3973
1393	2	352
1394	2	586
1395	2	735
1396	2	34
1397	2	2168
1398	2	352
1399	2	102
1400	2	352
1401	2	766
1402	2	738
1403	2	350
1404	2	723
1405	2	3850
1406	2	34
1407	2	34
1408	2	102
1409	2	738
1410	2	28
1411	2	3850
1412	2	20
1413	1	1
1414	2	663
1415	2	645
1416	2	54
1417	2	645
1418	2	411
1419	2	401
1420	3	13
1421	3	13
1422	2	738
1423	2	738
1424	2	20
1425	2	3379
1426	3	13
1427	3	13
1428	2	789
1429	2	4017
1430	2	766
1431	2	766
1432	1	1
1433	2	649
1434	2	766
1435	2	738
1436	2	102
1437	2	4017
1438	1	1
1439	2	735
1440	1	1
1441	2	738
1442	2	4978
1443	1	1
1444	3	13
1445	2	34
1446	2	34
1447	2	6174
1448	1	1
1449	2	1413
1450	1	1
1451	2	735
1452	2	446
1453	2	738
1454	2	20
1455	1	1
1456	3	1398
1457	1	1
1458	2	2205
1459	2	663
1460	1	1
1461	2	374
1462	2	20
1463	1	1
1464	3	13
1465	2	586
1466	2	1234
1467	2	1440
1468	2	2464
1469	2	650
1470	2	28
1471	2	1518
1472	2	1455
1473	2	77
1474	2	735
1475	1	1
1476	2	789
1477	2	34
1478	2	20
1479	2	352
1480	2	71399
1481	2	1455
1482	2	136
1483	2	34
1484	2	74
1485	2	133
1486	2	2197
1487	2	738
1488	3	13
1489	1	1
1490	2	34
1491	2	62
1492	1	1
1493	2	7619
1494	1	1
1495	2	20
1496	2	735
1497	2	28
1498	2	2168
1499	2	5232
1500	2	550
1501	2	738
1502	2	18352
1503	2	5674
1504	2	766
1505	2	7619
1506	2	727
1507	2	34
1508	2	28
1509	1	1
1510	1	1
1511	1	1
1512	2	3973
1513	2	133
1514	1	1
1515	2	429
1516	1	1
1517	1	1
1518	1	1
1519	2	1455
1520	1	1
1521	2	735
1522	2	763
1523	2	738
1524	2	5241
1525	2	3065
1526	1	1
1527	2	34
1528	2	2168
1529	2	34
1530	2	789
1531	2	450
1532	1	1
1533	2	34
1534	2	1518
1535	2	536
1536	2	663
1537	1	1
1538	2	5412
1539	1	1
1540	1	1
1541	2	34
1542	2	20
1543	2	54
1544	2	352
1545	2	102
1546	2	645
1547	2	71399
1548	2	315
1549	3	13
1550	1	1
1551	2	34
1552	2	645
1553	2	429
1554	2	34
1555	3	13
1556	2	789
1557	2	789
1558	2	1518
1559	2	738
1560	2	5280
1561	2	352
1562	2	738
1563	2	789
1564	2	34
1565	2	689
1566	2	2275
1567	2	34
1568	2	34
1569	1	1
1570	2	136
1571	3	13
1572	1	1
1573	2	20
1574	2	2275
1575	2	586
1576	2	738
1577	2	1455
1578	3	14
1579	2	1475
1580	2	563
1581	2	352
1582	1	1
1583	3	14
1584	2	663
1585	3	14
1586	3	14
1587	2	34
1588	3	14
1589	2	10
1590	2	438
1591	3	14
1592	2	34
1593	2	34
1594	2	649
1595	2	20
1596	2	10
1597	2	645
1598	2	210
1599	3	14
1600	3	1823
1601	2	409
1602	2	20
1603	2	74
1604	2	74
1605	2	5173
1606	2	1455
1607	2	727
1608	1	1
1609	2	725
1610	2	428
1611	2	34
1612	3	20123
1613	2	352
1614	2	3850
1615	2	1455
1616	2	3065
1617	2	352
1618	2	6174
1619	2	1455
1620	1	1
1621	2	352
1622	2	20
1623	2	738
1624	2	10845
1625	2	3502
1626	1	1
1627	2	4678
1628	1	1
1629	2	34
1630	2	34
1631	2	74
1632	2	3392
1633	2	727
1634	2	2197
1635	2	1455
1636	2	1455
1637	2	3153
1638	2	738
1639	2	735
1640	2	20
1641	2	645
1642	1	1
1643	2	5056
1644	2	3109
1645	2	738
1646	2	34
1647	2	728
1648	2	1626
1649	1	1
1650	1	1
1651	2	3120
1652	2	2680
1653	2	789
1654	2	735
1655	2	20
1656	2	34
1657	1	1
1658	2	34
1659	2	352
1660	2	684
1661	2	28
1662	2	105
1663	1	1
1664	2	431
1665	2	34
1666	2	1747
1667	2	738
1668	2	970
1669	1	1
1670	1	1
1671	2	2256
1672	3	14
1673	2	34
1674	2	563
1675	2	723
1676	1	1
1677	2	34
1678	2	34
1679	2	663
1680	2	7429
1681	2	3994
1682	2	136
1683	1	1
1684	2	3850
1685	3	1405
1686	2	5791
1687	3	14
1688	2	1207
1689	2	11763
1690	1	1
1691	2	102
1692	2	28
1693	3	14
1694	2	1518
1695	2	66
1696	3	14
1697	2	74
1698	3	14
1699	2	727
1700	2	696
1701	1	1
1702	1	1
1703	2	3109
1704	2	723
1705	2	71
1706	2	763
1707	1	1
1708	3	14
1709	2	766
1710	2	418
1711	3	14
1712	2	1455
1713	2	728
1714	2	34
1715	2	725
1716	2	34
1717	2	34
1718	1	1
1719	2	352
1720	2	663
1721	2	546
1722	3	15
1723	3	1255
1724	2	789
1725	2	725
1726	2	3924
1727	2	738
1728	2	1537
1729	3	1734
1730	2	684
1731	2	17
1732	1	1
1733	2	1669
1734	2	429
1735	2	1518
1736	2	735
1737	2	5164
1738	2	34
1739	2	16
1740	2	75
1741	2	279
1742	2	546
1743	2	16
1744	2	16
1745	2	16
1746	2	350
1747	1	1
1748	2	75
1749	2	766
1750	2	74
1751	2	735
1752	2	766
1753	2	4017
1754	2	20
1755	2	350
1756	2	1455
1757	2	766
1758	2	725
1759	2	16
1760	2	645
1761	2	663
1762	2	74
1763	2	34
1764	2	645
1765	2	87
1766	2	789
1767	2	16
1768	2	3850
1769	2	16
1770	2	16
1771	2	17
1772	2	738
1773	2	17
1774	2	17
1775	2	725
1776	2	694
1777	2	17
1778	1	1
1779	2	789
1780	2	17
1781	2	17
1782	2	839
1783	2	704
1784	2	17
1785	2	17
1786	2	1518
1787	2	17
1788	2	3850
1789	2	3850
1790	2	17
1791	2	17
1792	2	17
1793	2	17
1794	2	17
1795	2	17
1796	2	17
1797	2	17
1798	2	17
1799	2	17
1800	2	17
1801	2	17
1802	2	17
1803	2	17
1804	2	17
1805	1	1
1806	2	279
1807	2	549
1808	2	17
1809	2	17
