Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.03     17.78     0.01                             __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > std::move<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     17.78     0.00  2579257     0.00     0.00  Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&)
  0.00     17.78     0.00  2370080     0.00     0.00  std::remove_reference<Neighbor&>::type&& std::move<Neighbor&>(Neighbor&)
  0.00     17.78     0.00  2200992     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  0.00     17.78     0.00  2032269     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00     17.78     0.00  1572861     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00     17.78     0.00  1349638     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::destroy<Neighbor>(Neighbor*)
  0.00     17.78     0.00  1349638     0.00     0.00  void std::__relocate_object_a<Neighbor, Neighbor, std::allocator<Neighbor> >(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.78     0.00  1291116     0.00     0.00  Neighbor* std::__niter_base<Neighbor*>(Neighbor*)
  0.00     17.78     0.00  1244112     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::end()
  0.00     17.78     0.00  1037410     0.00     0.00  std::vector<std::vector<Neighbor, std::allocator<Neighbor> >, std::allocator<std::vector<Neighbor, std::allocator<Neighbor> > > >::operator[](unsigned long)
  0.00     17.78     0.00  1034508     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00     17.78     0.00  1033208     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  0.00     17.78     0.00  1020442     0.00     0.00  Neighbor::Neighbor(int, double)
  0.00     17.78     0.00  1020442     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator-(long) const
  0.00     17.78     0.00  1020442     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::back()
  0.00     17.78     0.00  1016124     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator++()
  0.00     17.78     0.00  1016124     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator*() const
  0.00     17.78     0.00  1016124     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00     17.78     0.00   903164     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  0.00     17.78     0.00   860744     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::size() const
  0.00     17.78     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::destroy<Edge>(Edge*)
  0.00     17.78     0.00   524287     0.00     0.00  void std::__relocate_object_a<Edge, Edge, std::allocator<Edge> >(Edge*, Edge*, std::allocator<Edge>&)
  0.00     17.78     0.00   520221     0.00     0.00  Edge::Edge(int, int, double)
  0.00     17.78     0.00   514483     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end()
  0.00     17.78     0.00   510221     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::back()
  0.00     17.78     0.00   510221     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&)
  0.00     17.78     0.00   506260     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_get_Tp_allocator()
  0.00     17.78     0.00   430499     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     17.78     0.00   430372     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::max_size() const
  0.00     17.78     0.00   430372     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::max_size() const
  0.00     17.78     0.00   430372     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::max_size(std::allocator<Neighbor> const&)
  0.00     17.78     0.00   430372     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_max_size(std::allocator<Neighbor> const&)
  0.00     17.78     0.00   430372     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.78     0.00   430372     0.00     0.00  Neighbor* std::__relocate_a<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.78     0.00   430372     0.00     0.00  Neighbor* std::__relocate_a_1<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.78     0.00   325367     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00     17.78     0.00   291074     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_deallocate(Neighbor*, unsigned long)
  0.00     17.78     0.00   273137     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00     17.78     0.00   223670     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::difference_type __gnu_cxx::operator-<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     17.78     0.00   223670     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::begin()
  0.00     17.78     0.00   215247     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     17.78     0.00   215186     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::deallocate(Neighbor*, unsigned long)
  0.00     17.78     0.00   215186     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::allocate(unsigned long, void const*)
  0.00     17.78     0.00   215186     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_M_check_len(unsigned long, char const*) const
  0.00     17.78     0.00   215186     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_allocate(unsigned long)
  0.00     17.78     0.00   215186     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::deallocate(std::allocator<Neighbor>&, Neighbor*, unsigned long)
  0.00     17.78     0.00   215186     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::allocate(std::allocator<Neighbor>&, unsigned long)
  0.00     17.78     0.00   197248     0.00     0.00  SSSPTree::getDistance(int) const
  0.00     17.78     0.00   188613     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     17.78     0.00   156018     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator(Neighbor const* const&)
  0.00     17.78     0.00   151776     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >* std::__addressof<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >&)
  0.00     17.78     0.00    75889     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     17.78     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::new_allocator()
  0.00     17.78     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::~new_allocator()
  0.00     17.78     0.00    75888     0.00     0.00  Graph::getNeighbors(int) const
  0.00     17.78     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::end() const
  0.00     17.78     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::begin() const
  0.00     17.78     0.00    75888     0.00     0.00  std::vector<std::vector<Neighbor, std::allocator<Neighbor> >, std::allocator<std::vector<Neighbor, std::allocator<Neighbor> > > >::operator[](unsigned long) const
  0.00     17.78     0.00    75888     0.00     0.00  std::allocator<Neighbor>::allocator()
  0.00     17.78     0.00    75888     0.00     0.00  std::allocator<Neighbor>::~allocator()
  0.00     17.78     0.00    75888     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00     17.78     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::_Vector_impl()
  0.00     17.78     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::~_Vector_impl()
  0.00     17.78     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl_data::_Vector_impl_data()
  0.00     17.78     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_base()
  0.00     17.78     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::~_Vector_base()
  0.00     17.78     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::vector()
  0.00     17.78     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::~vector()
  0.00     17.78     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00     17.78     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*, Neighbor>(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.78     0.00    75888     0.00     0.00  void std::_Destroy<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00     17.78     0.00    62781     0.00     0.00  EdgeChange&& std::forward<EdgeChange>(std::remove_reference<EdgeChange>::type&)
  0.00     17.78     0.00    49149     0.00     0.00  EdgeChange* std::__addressof<EdgeChange>(EdgeChange&)
