Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     23.09     0.00  2383549     0.00     0.00  std::remove_reference<Neighbor&>::type&& std::move<Neighbor&>(Neighbor&)
  0.00     23.09     0.00  2364400     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00     23.09     0.00  2229310     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  0.00     23.09     0.00  1851968     0.00     0.00  std::remove_reference<PQNode&>::type&& std::move<PQNode&>(PQNode&)
  0.00     23.09     0.00  1572861     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00     23.09     0.00  1357425     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::destroy<Neighbor>(Neighbor*)
  0.00     23.09     0.00  1357425     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::destroy<Neighbor>(std::allocator<Neighbor>&, Neighbor*)
  0.00     23.09     0.00  1357425     0.00     0.00  void std::__relocate_object_a<Neighbor, Neighbor, std::allocator<Neighbor> >(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     23.09     0.00  1312608     0.00     0.00  Neighbor* std::__niter_base<Neighbor*>(Neighbor*)
  0.00     23.09     0.00  1264892     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::end()
  0.00     23.09     0.00  1179452     0.00     0.00  std::greater<PQNode>::operator()(PQNode const&, PQNode const&) const
  0.00     23.09     0.00  1163885     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator*() const
  0.00     23.09     0.00  1094655     0.00     0.00  bool __gnu_cxx::operator!=<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     23.09     0.00  1066124     0.00     0.00  std::vector<std::vector<Neighbor, std::allocator<Neighbor> >, std::allocator<std::vector<Neighbor, std::allocator<Neighbor> > > >::operator[](unsigned long)
  0.00     23.09     0.00  1056164     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  0.00     23.09     0.00  1037349     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, Edge>(std::allocator<Edge>&, Edge*, Edge&&)
  0.00     23.09     0.00  1026124     0.00     0.00  Neighbor::Neighbor(int, double)
  0.00     23.09     0.00  1026124     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator-(long) const
  0.00     23.09     0.00  1026124     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::back()
  0.00     23.09     0.00  1026124     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::push_back(Neighbor&&)
  0.00     23.09     0.00  1018247     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator++()
  0.00     23.09     0.00  1018247     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator*() const
  0.00     23.09     0.00  1000489     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >::operator()<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > > >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >)
  0.00     23.09     0.00   975072     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  0.00     23.09     0.00   875072     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::size() const
  0.00     23.09     0.00   656304     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::_M_max_size() const
  0.00     23.09     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::destroy<Edge>(Edge*)
  0.00     23.09     0.00   524287     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::destroy<Edge>(std::allocator<Edge>&, Edge*)
  0.00     23.09     0.00   523082     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end()
  0.00     23.09     0.00   523062     0.00     0.00  Edge::Edge(int, int, double)
  0.00     23.09     0.00   513424     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_get_Tp_allocator()
  0.00     23.09     0.00   513062     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator-(long) const
  0.00     23.09     0.00   513062     0.00     0.00  Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&)
  0.00     23.09     0.00   513062     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::back()
  0.00     23.09     0.00   513062     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&)
  0.00     23.09     0.00   470169     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00     23.09     0.00   470111     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00     23.09     0.00   470104     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00     23.09     0.00   455278     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::base() const
  0.00     23.09     0.00   437648     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     23.09     0.00   437536     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::max_size() const
  0.00     23.09     0.00   437536     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_get_Tp_allocator() const
  0.00     23.09     0.00   437536     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::max_size() const
  0.00     23.09     0.00   437536     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::max_size(std::allocator<Neighbor> const&)
  0.00     23.09     0.00   437536     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_max_size(std::allocator<Neighbor> const&)
  0.00     23.09     0.00   437536     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_do_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&, std::integral_constant<bool, true>)
  0.00     23.09     0.00   437536     0.00     0.00  Neighbor* std::__relocate_a<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     23.09     0.00   437536     0.00     0.00  Neighbor* std::__relocate_a_1<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     23.09     0.00   393156     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00     23.09     0.00   358694     0.00     0.00  PQNode&& std::forward<PQNode>(std::remove_reference<PQNode>::type&)
  0.00     23.09     0.00   317309     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00     23.09     0.00   317287     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00     23.09     0.00   317287     0.00     0.00  std::_Bit_const_iterator::operator[](long) const
  0.00     23.09     0.00   317287     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  0.00     23.09     0.00   317287     0.00     0.00  std::_Bit_const_iterator::operator+=(long)
  0.00     23.09     0.00   317287     0.00     0.00  std::operator+(std::_Bit_const_iterator const&, long)
  0.00     23.09     0.00   294656     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_deallocate(Neighbor*, unsigned long)
  0.00     23.09     0.00   238768     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::begin()
  0.00     23.09     0.00   227624     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::end()
  0.00     23.09     0.00   227622     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::difference_type __gnu_cxx::operator-<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > > const&, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > > const&)
  0.00     23.09     0.00   227609     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > >::__normal_iterator(PQNode const* const&)
  0.00     23.09     0.00   227605     0.00     0.00  std::remove_reference<std::greater<PQNode>&>::type&& std::move<std::greater<PQNode>&>(std::greater<PQNode>&)
  0.00     23.09     0.00   218825     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     23.09     0.00   218768     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::deallocate(Neighbor*, unsigned long)
  0.00     23.09     0.00   218768     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::allocate(unsigned long, void const*)
  0.00     23.09     0.00   218768     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_M_check_len(unsigned long, char const*) const
  0.00     23.09     0.00   218768     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_allocate(unsigned long)
  0.00     23.09     0.00   218768     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::deallocate(std::allocator<Neighbor>&, Neighbor*, unsigned long)
  0.00     23.09     0.00   218768     0.00     0.00  std::allocator_traits<std::allocator<Neighbor> >::allocate(std::allocator<Neighbor>&, unsigned long)
  0.00     23.09     0.00   196605     0.00     0.00  PQNode* std::__addressof<PQNode>(PQNode&)
  0.00     23.09     0.00   178963     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<std::greater<PQNode> >::operator()<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, PQNode>(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, PQNode&)
  0.00     23.09     0.00   161759     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00     23.09     0.00   152828     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00     23.09     0.00   152824     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00     23.09     0.00   152824     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00     23.09     0.00   152821     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00     23.09     0.00   152817     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00     23.09     0.00   152817     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00     23.09     0.00   152817     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00     23.09     0.00   151776     0.00     0.00  SSSPTree::isAffected(int) const
  0.00     23.09     0.00   151776     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >* std::__addressof<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >&)
  0.00     23.09     0.00   151755     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::begin()
  0.00     23.09     0.00   151740     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > >::base() const
  0.00     23.09     0.00   151739     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::begin() const
  0.00     23.09     0.00   151738     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::operator-(long) const
  0.00     23.09     0.00   151736     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, long, PQNode, __gnu_cxx::__ops::_Iter_comp_val<std::greater<PQNode> > >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, long, long, PQNode, __gnu_cxx::__ops::_Iter_comp_val<std::greater<PQNode> >&)
  0.00     23.09     0.00   141404     0.00     0.00  void __gnu_cxx::new_allocator<PQNode>::destroy<PQNode>(PQNode*)
  0.00     23.09     0.00   141404     0.00     0.00  void __gnu_cxx::new_allocator<PQNode>::construct<PQNode, PQNode>(PQNode*, PQNode&&)
  0.00     23.09     0.00   141404     0.00     0.00  void std::allocator_traits<std::allocator<PQNode> >::destroy<PQNode>(std::allocator<PQNode>&, PQNode*)
  0.00     23.09     0.00   141404     0.00     0.00  void std::allocator_traits<std::allocator<PQNode> >::construct<PQNode, PQNode>(std::allocator<PQNode>&, PQNode*, PQNode&&)
  0.00     23.09     0.00   137761     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator++()
  0.00     23.09     0.00    76948     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00     23.09     0.00    76409     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     23.09     0.00    76408     0.00     0.00  SSSPTree::setDistance(int, double)
  0.00     23.09     0.00    76408     0.00     0.00  SSSPTree::setParent(int, int)
  0.00     23.09     0.00    76408     0.00     0.00  Graph::getNeighbors(int) const
  0.00     23.09     0.00    76408     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::end() const
  0.00     23.09     0.00    76408     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::begin() const
  0.00     23.09     0.00    76408     0.00     0.00  std::vector<std::vector<Neighbor, std::allocator<Neighbor> >, std::allocator<std::vector<Neighbor, std::allocator<Neighbor> > > >::operator[](unsigned long) const
  0.00     23.09     0.00    76408     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     23.09     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::new_allocator()
  0.00     23.09     0.00    75888     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::~new_allocator()
  0.00     23.09     0.00    75888     0.00     0.00  std::allocator<Neighbor>::allocator()
  0.00     23.09     0.00    75888     0.00     0.00  std::allocator<Neighbor>::~allocator()
  0.00     23.09     0.00    75888     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00     23.09     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::_Vector_impl()
  0.00     23.09     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl::~_Vector_impl()
  0.00     23.09     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_impl_data::_Vector_impl_data()
  0.00     23.09     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_Vector_base()
  0.00     23.09     0.00    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::~_Vector_base()
  0.00     23.09     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::vector()
  0.00     23.09     0.00    75888     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::~vector()
  0.00     23.09     0.00    75888     0.00     0.00  void std::_Construct<std::vector<Neighbor, std::allocator<Neighbor> >>(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00     23.09     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*>(Neighbor*, Neighbor*)
  0.00     23.09     0.00    75888     0.00     0.00  void std::_Destroy<Neighbor*, Neighbor>(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     23.09     0.00    75888     0.00     0.00  void std::_Destroy<std::vector<Neighbor, std::allocator<Neighbor> > >(std::vector<Neighbor, std::allocator<Neighbor> >*)
  0.00     23.09     0.00    75870     0.00     0.00  bool __gnu_cxx::operator==<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > >(__gnu_cxx::__normal_iterator<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > > const&, __gnu_cxx::__normal_iterator<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > > const&)
  0.00     23.09     0.00    75870     0.00     0.00  std::priority_queue<PQNode, std::vector<PQNode, std::allocator<PQNode> >, std::greater<PQNode> >::empty() const
  0.00     23.09     0.00    75870     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::end() const
  0.00     23.09     0.00    75870     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::empty() const
  0.00     23.09     0.00    75869     0.00     0.00  PQNode::PQNode(int, double)
  0.00     23.09     0.00    75869     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<std::greater<PQNode> >::_Iter_comp_val(std::greater<PQNode>)
  0.00     23.09     0.00    75869     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > >::operator*() const
  0.00     23.09     0.00    75869     0.00     0.00  std::priority_queue<PQNode, std::vector<PQNode, std::allocator<PQNode> >, std::greater<PQNode> >::top() const
  0.00     23.09     0.00    75869     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::front() const
  0.00     23.09     0.00    75869     0.00     0.00  std::priority_queue<PQNode, std::vector<PQNode, std::allocator<PQNode> >, std::greater<PQNode> >::pop()
  0.00     23.09     0.00    75869     0.00     0.00  std::priority_queue<PQNode, std::vector<PQNode, std::allocator<PQNode> >, std::greater<PQNode> >::push(PQNode&&)
  0.00     23.09     0.00    75869     0.00     0.00  PQNode& std::vector<PQNode, std::allocator<PQNode> >::emplace_back<PQNode>(PQNode&&)
  0.00     23.09     0.00    75869     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::back()
  0.00     23.09     0.00    75869     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::pop_back()
  0.00     23.09     0.00    75869     0.00     0.00  std::vector<PQNode, std::allocator<PQNode> >::push_back(PQNode&&)
  0.00     23.09     0.00    75869     0.00     0.00  void std::pop_heap<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, std::greater<PQNode> >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, std::greater<PQNode>)
  0.00     23.09     0.00    75869     0.00     0.00  void std::push_heap<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, std::greater<PQNode> >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, std::greater<PQNode>)
  0.00     23.09     0.00    75867     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::operator--()
  0.00     23.09     0.00    75867     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<std::greater<PQNode> >::_Iter_comp_val(__gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >&&)
  0.00     23.09     0.00    75867     0.00     0.00  void std::__pop_heap<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> > >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >&)
  0.00     23.09     0.00    75867     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >&>(__gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >&)
  0.00     23.09     0.00    70331     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>::operator()<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     23.09     0.00    67430     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>::operator()<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     23.09     0.00    67430     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}::operator()(Neighbor const&) const
  0.00     23.09     0.00    65535     0.00     0.00  void std::__relocate_object_a<PQNode, PQNode, std::allocator<PQNode> >(PQNode*, PQNode*, std::allocator<PQNode>&)
  0.00     23.09     0.00    62781     0.00     0.00  EdgeChange&& std::forward<EdgeChange>(std::remove_reference<EdgeChange>::type&)
