Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     17.84     0.00   975037     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  0.00     17.84     0.00   874950     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::size() const
  0.00     17.84     0.00   656225     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::_M_max_size() const
  0.00     17.84     0.00   524287     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::destroy<Edge>(Edge*)
  0.00     17.84     0.00   524287     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::destroy<Edge>(std::allocator<Edge>&, Edge*)
  0.00     17.84     0.00   524287     0.00     0.00  void std::__relocate_object_a<Edge, Edge, std::allocator<Edge> >(Edge*, Edge*, std::allocator<Edge>&)
  0.00     17.84     0.00   522375     0.00     0.00  Edge::Edge(int, int, double)
  0.00     17.84     0.00   522352     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end()
  0.00     17.84     0.00   513420     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::_M_get_Tp_allocator()
  0.00     17.84     0.00   512450     0.00     0.00  Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&)
  0.00     17.84     0.00   512035     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::back()
  0.00     17.84     0.00   511893     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&)
  0.00     17.84     0.00   437553     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     17.84     0.00   437533     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_do_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&, std::integral_constant<bool, true>)
  0.00     17.84     0.00   437529     0.00     0.00  Neighbor* std::__relocate_a_1<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.84     0.00   437527     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
